"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
50686,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50689,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
50711,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
52001,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52019,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
52022,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52036,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52051,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52079,"center-right","right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
52083,"center-right","right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
52110,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52203,"right","left","left","right","left","left","flip to left","stable left","flip to left","stable left"
52207,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52210,"center-left","left","left","right","left","left","stable left","stable left","flip to left","stable left"
52215,"center-left","left","left","center-right","left","left","stable left","stable left","flip to left","stable left"
52224,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52227,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52233,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52240,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52250,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52254,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52256,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52258,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52260,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
52287,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
52317,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52320,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52323,"center-left","left","left","right","left","left","stable left","stable left","flip to left","stable left"
52352,"center-right","left","left","right","left","left","flip to left","stable left","flip to left","stable left"
52354,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52356,"center-left","left","left","center-right","left","left","stable left","stable left","flip to left","stable left"
52378,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52381,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52385,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52390,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52399,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52405,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52411,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52418,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52427,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52435,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52473,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52480,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52490,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52506,"center-right","right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
52520,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52540,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52560,"center-left","left","left","right","left","left","stable left","stable left","flip to left","stable left"
52565,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52573,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52585,"center-left","left","left","right","left","left","stable left","stable left","flip to left","stable left"
52612,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52621,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52678,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52683,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52685,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52687,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52693,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52694,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
52696,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52699,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52720,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52786,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52788,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52835,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
52838,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
52885,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
54001,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54003,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
54051,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54099,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54109,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54125,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54128,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54172,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54174,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54206,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54223,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54239,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54245,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54250,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
54261,"center-right","right","center-right","center-right","right","left","stable right","stable right","stable right","flip to left"
54313,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
54344,"center-left","left","left","center-right","left","center-right","stable left","stable left","flip to left","flip to right"
54347,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
54377,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54385,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54398,"right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54405,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54418,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
54480,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54498,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54518,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54520,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54553,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54599,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54660,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54670,"center-left","left","left","center-right","left","center-right","stable left","stable left","flip to left","flip to right"
54673,"center-right","right","center-right","center-right","right","left","stable right","stable right","stable right","flip to left"
54680,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
54720,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54743,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54800,"center-left","left","left","center-right","left","center-right","stable left","stable left","flip to left","flip to right"
54810,"center-right","right","center-right","center-right","right","left","stable right","stable right","stable right","flip to left"
54820,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
54871,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
54874,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
63001,"right","center-left","left","right","right","left","flip to left","stable left","stable right","flip to left"
63111,"center-right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
63130,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
63190,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
63212,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
63272,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
63302,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
63401,"right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
63470,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
63548,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
